obs_type,obs_mode,observer_type,obs_note_code,site_code,program_code,catalog_code,sub_frame,date_min,date_max,sigma,comment
OPTICAL,CCD,*,*,K93,00|03,*,*,*,*,0.30,Station rule: K93 packed programs 0 and 3
OPTICAL,CCD,*,*,Q63,00|03,*,*,*,*,0.30,Station rule: Q63 packed programs 0 and 3
OPTICAL,CCD,*,*,Q64,00|03,*,*,*,*,0.30,Station rule: Q64 packed programs 0 and 3
OPTICAL,CCD,*,*,V39,00|03,*,*,*,*,0.30,Station rule: V39 packed programs 0 and 3
OPTICAL,CCD,*,*,W85,00|03,*,*,*,*,0.30,Station rule: W85 packed programs 0 and 3
OPTICAL,CCD,*,*,W86,00|03,*,*,*,*,0.30,Station rule: W86 packed programs 0 and 3
OPTICAL,CCD,*,*,W87,00|03,*,*,*,*,0.30,Station rule: W87 packed programs 0 and 3
OPTICAL,CCD,*,*,Z24,00|03,*,*,*,*,0.30,Station rule: Z24 packed programs 0 and 3
OPTICAL,CCD,*,*,Z31,00|03,*,*,*,*,0.30,Station rule: Z31 packed programs 0 and 3
OPTICAL,CCD,*,*,V37,00|06,*,*,*,*,0.30,Station rule: V37 packed programs 0 and 6

OPTICAL,CCD,*,*,309,*,*,*,*,*,1.00,Station rule: 309 default
OPTICAL,CCD,*,*,309,*,Gaia1|Gaia2|Gaia3E|Gaia3,*,*,*,0.20,Station rule: 309 Gaia
OPTICAL,CCD,*,*,309,0F|0E,Gaia1|Gaia2|Gaia3E|Gaia3,*,*,*,0.10,Station rule: 309 packed programs ampersand and percent Gaia
OPTICAL,CCD,*,*,309,*,PPMXL|UCAC4,*,*,*,0.30,Station rule: 309 PPMXL or UCAC4
OPTICAL,CCD,*,*,G83,*,*,*,*,*,1.00,Station rule: G83 default
OPTICAL,CCD,*,*,G83,02,Gaia1|Gaia2|Gaia3E|Gaia3,*,*,*,0.20,Station rule: G83 packed program 2 Gaia
OPTICAL,CCD,*,*,C65,03,Gaia1|Gaia2|Gaia3E|Gaia3,*,*,*,0.20,Station rule: C65 packed program 3 Gaia
OPTICAL,CCD,*,*,094,09,Gaia1|Gaia2|Gaia3E|Gaia3,*,*,*,0.50,Station rule: 094 packed program 9 Gaia
OPTICAL,CCD,*,*,Z18,01,Gaia1|Gaia2|Gaia3E|Gaia3,*,*,*,0.10,Station rule: Z18 packed program 1 Gaia
OPTICAL,CCD,*,*,181,01,Gaia1|Gaia2|Gaia3E|Gaia3,*,*,*,0.50,Station rule: 181 packed program 1 Gaia
OPTICAL,CCD,*,*,D20,01|04,Gaia1|Gaia2|Gaia3E|Gaia3,*,*,*,0.50,Station rule: D20 packed programs 1 and 4 Gaia
OPTICAL,CCD,*,*,G37,05,Gaia1|Gaia2|Gaia3E|Gaia3,*,*,*,0.20,Station rule: G37 packed program 5 Gaia
OPTICAL,CCD,*,*,N50,02,Gaia1|Gaia2|Gaia3E|Gaia3,*,*,*,0.30,Station rule: N50 packed program 2 Gaia
OPTICAL,CCD,*,*,I41,15,*,*,*,*,1.00,Station rule: I41 packed program Z
OPTICAL,CCD,*,*,W57,00|01,*,*,*,*,0.40,Station rule: W57 packed programs 0 and 1
OPTICAL,CCD,*,*,M28,*,*,*,*,*,3.00,Station rule: M28
OPTICAL,CCD,*,*,247,*,*,*,*,*,2.00,Station rule: 247
OPTICAL,CCD,*,*,270,*,*,*,*,*,2.00,Station rule: 270

OPTICAL,*,*,*,*,*,*,B1950.0,*,1890-01-01,10.00,Vereš et al. (2017) Table 5: B1950 converted photographic
OPTICAL,*,*,*,*,*,*,B1950.0,1890-01-01,1950-01-01,5.00,Vereš et al. (2017) Table 5: B1950 converted photographic
OPTICAL,*,*,*,*,*,*,B1950.0,1950-01-01,*,2.50,Vereš et al. (2017) Table 5: B1950 converted photographic
